,index,om,yr,tz,stf,stn,mag,inj,fat,loss,closs,slat,slon,len,wid,fc,p_elat,p_elon,Time,sDate,sTime,Predicted_Time
2389,20091,299,1960.0,3,36,1,0,0,0,4,0,42.7,-77.7,0.5,150,0,0.007647954088580508,-0.021776978362838553,76.0,5/23/1960,18:30:00,1900-01-04 22:30:00
2391,5246,454,1960.0,3,30,2,1,0,0,2,0,47.5,-110.8,0.3,10,1,34.118110256413964,-84.69731818058783,5.0,6/30/1960,8:00:00,1900-01-01 13:00:00
2437,5001,209,1960.0,3,17,16,2,0,0,4,0,39.5,-88.3,20.9,130,0,0.0005474462365591397,-0.0012509408602150538,19.0,5/7/1960,1:37:00,1900-01-01 20:37:00
2455,20020,228,1960.0,3,17,17,1,0,0,4,0,38.18,-89.83,0.1,10,0,1.6490589285714288,-4.056232886904762,52.0,5/16/1960,16:45:00,1900-01-03 20:45:00
2465,20300,508,1960.0,3,26,6,1,0,0,4,0,42.3,-85.6,0.1,10,0,40.4308503950104,-84.60301432071496,1.0,8/5/1960,16:30:00,1900-01-01 17:30:00
2474,4894,102,1960.0,3,17,8,1,0,0,4,0,38.35,-89.37,0.1,10,0,31.536724815959037,-86.64237497367567,1.0,4/17/1960,3:56:00,1900-01-01 04:56:00
2491,4800,8,1960.0,3,48,4,1,0,0,3,0,29.83,-93.83,2,33,0,33.9371369124253,-100.73170950014851,1.0,2/3/1960,16:15:00,1900-01-01 17:15:00
2504,5058,266,1960.0,3,31,8,1,0,0,3,0,40.2,-95.5,0.1,10,0,0.0009693826600090784,-0.00229364502950522,20.0,5/19/1960,19:00:00,1900-01-02 15:00:00
2519,5231,439,1960.0,3,31,32,2,0,0,5,0,42.75,-103.1,0.1,10,0,40.14762300642877,-88.08311105135904,2.0,6/27/1960,16:35:00,1900-01-01 18:35:00
2533,5360,568,1960.0,3,48,64,2,0,0,5,0,31.18,-94.77,0.4,30,0,0.022541165459757987,-0.05451122192843805,20.0,9/25/1960,15:20:00,1900-01-02 11:20:00
2537,20241,449,1960.0,3,29,24,1,0,0,5,0,39,-93.97,0.5,50,0,0.3576138429288853,-0.986664176979643,56.0,6/29/1960,19:00:00,1900-01-04 03:00:00
2552,5325,533,1960.0,3,48,63,2,2,0,4,0,33.12,-97.02,0.2,40,0,9.7483523405247,-20.335497511310397,15.0,8/22/1960,6:00:00,1900-01-01 21:00:00
2595,4815,23,1960.0,3,48,5,2,3,0,4,0,29.77,-95.8,4.9,100,0,0.6312984355497615,-1.664181814968221,20.0,2/17/1960,20:30:00,1900-01-02 16:30:00
2598,4989,197,1960.0,3,5,13,3,30,1,6,0,35.1,-92.62,26.7,300,0,0.11510888191471288,-0.31066969364818603,19.0,5/6/1960,1:35:00,1900-01-01 20:35:00
2617,19931,139,1960.0,3,48,15,0,0,0,0,0,34.02,-100.97,0.1,10,0,34.303466349206346,-85.12301815476195,12.0,5/4/1960,17:40:00,1900-01-02 05:40:00
2622,20149,357,1960.0,3,20,41,0,0,0,4,0,39.37,-101.63,2,10,0,39.43276928984713,-89.99666643027635,8.0,6/9/1960,18:24:00,1900-01-02 02:24:00
2639,5089,297,1960.0,3,55,4,0,0,0,0,0,43.8,-88.8,2,10,1,0.21219390568597285,-0.4565190144322072,19.0,5/22/1960,13:35:00,1900-01-02 08:35:00
2646,19910,118,1960.0,3,40,17,3,0,0,4,0,35.25,-98.33,3.3,100,0,0.010897787173097305,-0.027284652802841515,32.0,4/28/1960,19:45:00,1900-01-03 03:45:00
2690,19964,172,1960.0,3,40,45,5,81,5,6,0,35.28,-96.93,71.8,800,0,0.8779457346468246,-2.412246158212813,20.0,5/5/1960,18:16:00,1900-01-02 14:16:00
2716,5369,577,1960.0,3,1,11,0,0,0,0,0,33.75,-86.63,0.1,10,0,28.423894991418152,-77.46368740748946,2.0,10/13/1960,15:00:00,1900-01-01 17:00:00
2729,4875,83,1960.0,3,29,7,3,4,0,4,0,40.3,-94.43,27,300,0,0.44216620355619485,-1.107898008759162,19.0,4/16/1960,16:07:00,1900-01-02 11:07:00
2759,20144,352,1960.0,3,48,46,1,0,0,3,0,34.57,-100.42,0.2,20,0,0.46826225819786493,-1.4120492912497105,59.0,6/9/1960,15:10:00,1900-01-04 02:10:00
2764,5211,419,1960.0,3,17,36,2,0,0,4,0,39.98,-88.27,3.8,800,0,35.14722726177795,-95.0996916320281,1.0,6/23/1960,17:00:00,1900-01-01 18:00:00
2768,4916,124,1960.0,3,40,22,3,1,0,5,0,35.3,-97.83,1.5,200,0,5.614356207537859,-12.060956010070608,18.0,4/28/1960,20:58:00,1900-01-02 14:58:00
2776,20173,381,1960.0,3,26,3,2,0,0,4,0,42.25,-84.33,5.6,33,0,36.02535372538393,-95.45922246880282,4.0,6/15/1960,18:00:00,1900-01-01 22:00:00
2812,20097,305,1960.0,3,40,85,1,0,0,1,0,35.28,-97.63,1.5,33,0,31.6801304692128,-79.92687307340319,9.0,5/24/1960,14:00:00,1900-01-01 23:00:00
2829,20321,529,1960.0,3,55,7,0,0,0,0,0,43,-90,1,10,1,33.52616792039166,-84.58641162139605,9.0,8/20/1960,18:00:00,1900-01-02 03:00:00
2876,5216,424,1960.0,3,50,1,2,0,0,4,0,44.63,-72.9,2,100,0,44.98428932972937,-104.50005875521194,4.0,6/24/1960,16:40:00,1900-01-01 20:40:00
