,index,om,yr,tz,stf,stn,mag,inj,fat,loss,closs,slat,slon,len,wid,fc,p_elat,p_elon,Time,sDate,sTime,Predicted_Time
4517,19966,174,1960.0,3,40,47,3,15,2,5,0,35.48,-95.85,0.8,150,0,0.26466326182533356,-0.5921765929696606,31.0,5/5/1960,18:30:00,1900-01-03 01:30:00
4525,20057,265,1960.0,3,20,24,3,1,0,0,0,39.23,-95.43,11.5,10,0,0.23735033019423907,-0.4830211825916038,31.0,5/19/1960,18:35:00,1900-01-03 01:35:00
4530,20040,247,1960.0,3,48,27,0,0,0,0,0,32.27,-98.82,0.6,33,0,30.698774200168174,-79.17155528487372,15.0,5/18/1960,18:43:00,1900-01-02 09:43:00
4542,5299,507,1960.0,3,38,16,2,1,0,1,0,48.3,-101.3,0.1,10,0,44.2352900536359,-93.61095635094783,1.0,8/3/1960,16:30:00,1900-01-01 17:30:00
4556,19980,188,1960.0,3,19,6,1,0,0,4,0,41.67,-93.95,1,100,0,35.68305537509213,-87.88710023792503,4.0,5/5/1960,21:30:00,1900-01-02 01:30:00
4575,5276,484,1960.0,3,35,4,0,0,0,0,0,34.35,-103.68,0.1,10,0,0.0015172537566536344,-0.004207728578830845,21.0,7/22/1960,15:25:00,1900-01-02 12:25:00
4591,5234,442,1960.0,3,8,11,3,3,2,5,0,40.82,-102.43,6.5,10,0,40.44189511239931,-89.00573050095421,2.0,6/28/1960,18:30:00,1900-01-01 20:30:00
4602,4903,111,1960.0,3,48,10,1,0,0,3,0,27.78,-97.42,0.3,17,0,0.3179225,-0.7662879166666667,20.0,4/26/1960,15:30:00,1900-01-02 11:30:00
4609,5370,578,1960.0,3,48,66,3,1,0,5,0,34.63,-102.72,1,100,0,1.792688162933656,-4.431641069594417,20.0,10/13/1960,17:05:00,1900-01-02 13:05:00
4635,19832,40,1960.0,3,12,8,1,0,0,5,0,28.13,-81.93,1,100,0,0.36977875915308117,-0.9616810315560221,50.0,3/16/1960,8:25:00,1900-01-03 10:25:00
4638,5323,531,1960.0,3,48,62,1,0,0,3,0,29.63,-97.98,0.1,17,0,0.0071539511269262,-0.018717889279210136,21.0,8/21/1960,15:15:00,1900-01-02 12:15:00
4680,4976,184,1960.0,3,40,56,4,13,5,5,0,35.38,-94.55,5.4,10,0,38.14463818612474,-99.6962162316307,1.0,5/5/1960,20:50:00,1900-01-01 21:50:00
4692,20237,445,1960.0,3,17,37,1,0,0,3,0,38.62,-89.13,0.1,10,0,41.85110824532484,-77.27440173205393,5.0,6/29/1960,16:30:00,1900-01-01 21:30:00
4696,5020,228,1960.0,3,17,17,1,0,0,4,0,38.18,-89.83,0.1,10,0,42.804142823807645,-90.36921313844314,1.0,5/16/1960,16:45:00,1900-01-01 17:45:00
4716,5137,345,1960.0,3,17,27,2,1,0,5,0,40.53,-89.08,56.2,20,0,37.16806767291475,-115.72683847994733,4.0,6/7/1960,18:00:00,1900-01-01 22:00:00
4734,20072,280,1960.0,3,29,18,1,0,0,3,0,38.8,-93.75,0.2,17,0,0.9044339552512553,-2.5415982824912278,55.0,5/19/1960,23:20:00,1900-01-04 06:20:00
4760,5253,461,1960.0,3,29,28,1,0,0,4,0,38.88,-92.1,0.2,17,0,0.04463309491277096,-0.0901512883555221,19.0,7/2/1960,11:20:00,1900-01-02 06:20:00
4764,20315,523,1960.0,3,47,2,1,0,0,4,0,36.5,-86.67,0.1,10,0,30.755996929005327,-84.32648360971093,3.0,8/18/1960,11:30:00,1900-01-01 14:30:00
4778,20198,406,1960.0,3,8,8,2,0,0,4,0,40.98,-103.13,2.5,67,0,0.0934994313270552,-0.4944768599979703,43.0,6/20/1960,20:15:00,1900-01-03 15:15:00
4787,4855,63,1960.0,3,20,1,1,0,0,4,0,38.08,-97.33,0.1,10,1,35.20815063172985,-99.73011932163126,0.0,3/31/1960,19:20:00,1900-01-01 19:20:00
4795,20153,361,1960.0,3,31,12,1,0,0,3,0,41.78,-97.93,2.5,10,0,0.30078293132328304,-0.6678915661641541,58.0,6/10/1960,15:05:00,1900-01-04 01:05:00
4830,4885,93,1960.0,3,20,7,1,0,0,1,0,37.52,-97.05,0.3,10,0,38.32486322690458,-88.11496852244221,1.0,4/16/1960,19:00:00,1900-01-01 20:00:00
4831,19926,134,1960.0,3,17,12,1,0,0,3,0,40.27,-89.23,0.2,30,0,2.711888968075952,-6.691576761449674,50.0,5/2/1960,16:00:00,1900-01-03 18:00:00
4855,5106,314,1960.0,3,31,10,1,0,0,3,0,42.92,-98.83,0.1,10,0,33.29786244499023,-89.81776872580686,2.0,5/25/1960,3:00:00,1900-01-01 05:00:00
4867,5068,276,1960.0,3,20,28,2,0,0,3,0,39.12,-95.67,4.1,10,0,0.17270725805895132,-0.4529402121845959,20.0,5/19/1960,21:00:00,1900-01-02 17:00:00
4879,4911,119,1960.0,3,20,10,3,6,0,4,0,37.7,-97.58,7.1,440,0,1.0224902119673702,-2.665044985465822,20.0,4/28/1960,19:45:00,1900-01-02 15:45:00
4885,20332,540,1960.0,3,27,7,2,0,0,4,0,46.7,-95.67,0.1,10,0,2.4141618363329185,-5.585837899327474,38.0,8/25/1960,20:00:00,1900-01-03 10:00:00
4903,20127,335,1960.0,3,46,3,0,0,0,5,0,44.63,-97.62,0.1,10,0,33.92014218688988,-93.66560451731075,10.0,6/1/1960,16:45:00,1900-01-02 02:45:00
4930,5201,409,1960.0,3,31,29,3,0,0,4,0,41.38,-103.38,26.1,750,0,0.30468402963572755,-0.8549132853614795,21.0,6/21/1960,0:30:00,1900-01-01 21:30:00
4932,20225,433,1960.0,3,48,56,2,0,0,4,0,31.18,-94.77,0.7,100,0,41.51021626062571,-100.18072195948713,4.0,6/26/1960,18:00:00,1900-01-01 22:00:00
4933,20142,350,1960.0,3,12,17,1,1,0,3,0,27.68,-80.9,0.1,10,0,4.503756041632155,-9.586681140046734,43.0,6/8/1960,21:00:00,1900-01-03 16:00:00
4946,20338,546,1960.0,3,55,9,2,0,0,4,0,44.07,-90.8,0.5,50,0,40.59205802291824,-87.2900520659992,1.0,8/28/1960,17:00:00,1900-01-01 18:00:00
4950,5265,473,1960.0,3,38,5,2,0,0,0,0,47,-97.2,6.9,10,0,35.59540431368093,-96.99032525975952,2.0,7/11/1960,18:15:00,1900-01-01 20:15:00
4965,4811,19,1960.0,3,5,4,3,10,0,4,0,35.35,-91.32,3.8,100,0,31.598442466869713,-101.64213042530889,2.0,2/9/1960,22:25:00,1900-01-02 00:25:00
4990,5394,602,1960.0,3,5,28,1,0,0,4,0,34.77,-94.4,0.1,10,0,38.81499272011499,-89.85522849905499,1.0,11/23/1960,18:25:00,1900-01-01 19:25:00
5001,5342,550,1960.0,3,20,51,1,0,0,3,0,37.78,-97.42,0.1,10,0,0.0074016941334426115,-0.017671920721473916,20.0,9/8/1960,15:00:00,1900-01-02 11:00:00
5023,19972,180,1960.0,3,40,52,2,6,2,5,0,35.3,-95.5,11.7,200,0,37.38419892524323,-98.48956517887466,1.0,5/5/1960,19:30:00,1900-01-01 20:30:00
5031,20340,548,1960.0,3,19,22,1,0,0,3,0,43.1,-93.27,1,200,0,0.7294362641718177,-1.6937539207273216,55.0,8/28/1960,19:44:00,1900-01-04 02:44:00
5039,20007,215,1960.0,3,28,5,0,0,0,3,0,32.52,-90.15,0.1,10,0,33.178037689491674,-83.92921478983624,4.0,5/15/1960,14:30:00,1900-01-01 18:30:00
5063,4890,98,1960.0,3,40,14,1,0,0,3,0,36.97,-95.35,1,100,0,41.2096895038022,-92.02109444869781,1.0,4/16/1960,22:15:00,1900-01-01 23:15:00
5085,20206,414,1960.0,3,17,32,0,0,0,3,0,38.82,-90.05,0.1,10,0,39.76190400258974,-104.27175141192748,10.0,6/22/1960,22:00:00,1900-01-02 08:00:00
5102,20364,572,1960.0,3,35,6,0,0,0,0,0,35.2,-106,0.1,10,0,35.96260541093066,-90.49558630902071,11.0,10/7/1960,12:25:00,1900-01-01 23:25:00
5159,5148,356,1960.0,3,56,4,0,0,0,0,0,41.57,-106.95,1,33,0,38.432243284886674,-95.73603328404792,1.0,6/9/1960,18:24:00,1900-01-01 19:24:00
5170,4882,90,1960.0,3,20,8,2,1,0,1,0,37.8,-96.83,0.1,10,0,36.337856789493934,-99.88265184879025,0.0,4/16/1960,17:00:00,1900-01-01 17:00:00
5202,5003,211,1960.0,3,1,5,2,0,0,5,0,30.5,-88.1,0.2,100,0,37.13575269252701,-86.62632994282382,1.0,5/7/1960,19:30:00,1900-01-01 20:30:00
5210,19828,36,1960.0,3,12,4,3,0,0,5,0,30.2,-82.63,0.8,100,0,37.79285571428573,-89.11667240079368,3.0,3/3/1960,4:30:00,1900-01-01 07:30:00
5219,5071,279,1960.0,3,20,29,1,0,0,1,0,37.17,-94.83,0.1,10,0,0.09648974423037447,-0.268921992727486,20.0,5/19/1960,23:20:00,1900-01-02 19:20:00
5222,20248,456,1960.0,3,29,27,0,0,0,2,0,38.9,-90.52,0.2,10,0,33.659956120943654,-88.35305748689214,5.0,6/30/1960,16:00:00,1900-01-01 21:00:00
5255,5382,590,1960.0,3,12,30,2,0,1,3,0,26.45,-82.05,0.1,10,0,39.007837515584846,-98.67041123383859,4.0,11/15/1960,14:20:00,1900-01-01 18:20:00
5311,5222,430,1960.0,3,33,1,1,0,0,3,0,43.4,-71.4,0.5,50,0,34.190410563167404,-87.26795720582554,3.0,6/25/1960,19:00:00,1900-01-01 22:00:00
5313,5292,500,1960.0,3,27,5,1,0,0,4,0,46.42,-96.23,0.1,10,0,34.79515609816529,-100.90241340212734,2.0,7/29/1960,16:15:00,1900-01-01 18:15:00
5314,19921,129,1960.0,3,40,27,2,1,3,4,0,35.35,-96.53,6.1,800,0,0.1504915441950322,-0.3177100496917758,41.0,4/29/1960,15:07:00,1900-01-03 08:07:00
5321,4796,4,1960.0,3,48,2,1,3,0,5,0,33.72,-96.68,0.2,17,0,3.6122372862739973,-7.742529940914019,18.0,1/14/1960,11:20:00,1900-01-02 05:20:00
5331,5214,422,1960.0,3,39,6,1,0,0,3,0,40.2,-82.7,1,10,0,0.010307447829316842,-0.0261423014968884,18.0,6/24/1960,16:00:00,1900-01-02 10:00:00
5348,20277,485,1960.0,3,40,92,0,0,0,0,0,36.05,-96.05,0.1,10,1,0.3327738391817482,-0.835496616043998,88.0,7/22/1960,15:57:00,1900-01-05 07:57:00
5357,20220,428,1960.0,3,36,2,3,9,0,7,0,42.8,-73.88,16,440,0,0.38825090965029857,-0.9429912570382959,25.0,6/24/1960,21:40:00,1900-01-02 22:40:00
5362,4935,143,1960.0,3,20,13,2,0,0,3,0,38.63,-100.07,6.1,1000,1,42.92962818001442,-92.84869381007883,1.0,5/4/1960,18:00:00,1900-01-01 19:00:00
5395,20376,584,1960.0,3,48,72,1,0,0,4,0,27.87,-97.58,0.5,27,0,31.88022960475247,-95.94839426570712,2.0,10/18/1960,11:47:00,1900-01-01 13:47:00
5404,4972,180,1960.0,3,40,52,2,6,2,5,0,35.3,-95.5,11.7,200,0,0.42064088151256157,-0.9826903074341296,20.0,5/5/1960,19:30:00,1900-01-02 15:30:00
5412,4908,116,1960.0,3,48,13,1,0,0,0,0,31.72,-97.13,0.2,17,0,0.7076406848484847,-1.441706273160173,20.0,4/28/1960,19:00:00,1900-01-02 15:00:00
5415,20124,332,1960.0,3,48,40,0,0,0,0,0,32.38,-102.77,1,20,0,1.9598046242448215,-4.98525131776559,90.0,5/31/1960,21:30:00,1900-01-05 15:30:00
5419,20154,362,1960.0,3,4,1,0,0,0,0,0,34.97,-110.33,0.1,10,1,42.879917073263194,-89.90151913490905,16.0,6/10/1960,17:20:00,1900-01-02 09:20:00
5449,4813,21,1960.0,3,17,3,1,0,0,3,0,39.25,-88.15,1,27,0,0.6802148797250858,-1.82174147275405,18.0,2/17/1960,14:55:00,1900-01-02 08:55:00
5487,20061,269,1960.0,3,29,16,1,0,0,3,0,37.1,-93.85,0.2,17,0,0.3354341838143502,-0.8953067843610776,56.0,5/19/1960,19:22:00,1900-01-04 03:22:00
5523,5124,332,1960.0,3,48,40,0,0,0,0,0,32.38,-102.77,1,20,0,0.30816540445228185,-0.6831108329591494,21.0,5/31/1960,21:30:00,1900-01-02 18:30:00
5548,4948,156,1960.0,3,40,38,3,6,0,5,0,34.82,-96.83,18.3,10,0,1.4490372079038127,-3.257355963950336,19.0,5/4/1960,20:05:00,1900-01-02 15:05:00
5563,20174,382,1960.0,3,48,52,1,0,0,4,0,36.5,-100.87,0.4,23,0,0.2961305834016766,-0.7146352987874396,60.0,6/15/1960,18:30:00,1900-01-04 06:30:00
5615,20331,539,1960.0,3,46,9,2,1,0,4,0,44.37,-101.02,13.6,200,0,28.153800654176294,-80.89607752976444,10.0,8/25/1960,6:00:00,1900-01-01 16:00:00
5618,20345,553,1960.0,3,36,4,1,0,0,1,0,43.35,-76.28,2,250,0,29.254262688514387,-96.8002524485541,13.0,9/11/1960,13:00:00,1900-01-02 02:00:00
5624,20254,462,1960.0,3,34,3,1,0,0,3,0,40.05,-74.05,2,50,0,0.8173203295383638,-1.6439798400524754,46.0,7/2/1960,23:42:00,1900-01-03 21:42:00
5625,4927,135,1960.0,3,18,5,1,1,0,1,0,41.6,-87.05,0.1,10,0,1.9757764076295348,-6.045602578927262,17.0,5/3/1960,14:00:00,1900-01-02 07:00:00
5655,4931,139,1960.0,3,48,15,0,0,0,0,0,34.02,-100.97,0.1,10,0,37.78991112842014,-97.08021782629774,1.0,5/4/1960,17:40:00,1900-01-01 18:40:00
5710,5154,362,1960.0,3,4,1,0,0,0,0,0,34.97,-110.33,0.1,10,1,0.1948463950617284,-0.487015975308642,22.0,6/10/1960,17:20:00,1900-01-02 15:20:00
5718,20363,571,1960.0,3,12,27,1,0,0,2,0,28,-82.4,0.1,10,0,27.988389779625773,-95.60414934240653,7.0,10/4/1960,5:45:00,1900-01-01 12:45:00
5721,20290,498,1960.0,3,8,14,0,0,0,0,0,40.73,-102.32,0.1,10,0,0.0335917467030306,-0.07809088746679377,93.0,7/29/1960,15:00:00,1900-01-05 12:00:00
5727,4795,3,1960.0,3,40,1,2,0,0,3,0,34.7,-96.8,0.1,10,0,2.5764308244081944,-7.612260035975174,19.0,1/14/1960,7:45:00,1900-01-02 02:45:00
5728,19803,11,1960.0,3,28,1,1,0,0,3,0,32.32,-89.8,17.5,50,0,39.01652722643989,-100.00447112268999,6.0,2/4/1960,19:15:00,1900-01-02 01:15:00
5746,19899,107,1960.0,3,56,1,3,1,0,4,0,41.03,-105.22,17.2,33,0,0.43748863702197904,-0.9094311822709931,33.0,4/24/1960,16:00:00,1900-01-03 01:00:00
5750,4933,141,1960.0,3,40,30,1,0,0,3,0,34.17,-98.8,1,10,0,43.645301915879806,-113.37228956164337,3.0,5/4/1960,17:43:00,1900-01-01 20:43:00
5764,5163,371,1960.0,3,29,22,1,0,0,4,0,39.18,-91.55,4.1,33,0,26.915491528831495,-76.87126564710647,3.0,6/12/1960,17:20:00,1900-01-01 20:20:00
5794,19811,19,1960.0,3,5,4,3,10,0,4,0,35.35,-91.32,3.8,100,0,2.567548741753061,-6.384934154744059,28.0,2/9/1960,22:25:00,1900-01-03 02:25:00
5800,19953,161,1960.0,3,40,41,4,3,0,5,0,34.02,-95.7,30.8,150,0,0.5601999999999999,-1.2372083333333332,24.0,5/4/1960,23:15:00,1900-01-02 23:15:00
5806,20283,490,1960.0,3,35,5,2,0,0,4,0,32.97,-103.4,0.1,10,0,2.2710795802495447,-4.583628443795478,42.0,7/24/1960,21:00:00,1900-01-03 15:00:00
5815,19848,56,1960.0,3,18,1,2,0,0,3,0,39.9,-85.85,0.1,50,0,0.012531433684030834,-0.03285928056043531,38.0,3/30/1960,17:00:00,1900-01-03 07:00:00
5826,19863,71,1960.0,3,48,6,2,3,0,3,0,34.63,-102.72,1,67,0,0.3326160917950371,-0.8796371992342551,43.0,4/12/1960,20:00:00,1900-01-03 15:00:00
5846,5125,333,1960.0,3,38,1,2,0,0,0,0,46.87,-96.9,0.1,10,0,37.90380950665952,-84.65410982899571,2.0,5/31/1960,22:30:00,1900-01-02 00:30:00
5866,20164,372,1960.0,3,29,23,1,0,0,3,0,39.28,-93.97,0.2,17,0,42.006506168676324,-99.08566818213936,2.0,6/13/1960,16:30:00,1900-01-01 18:30:00
5893,5159,367,1960.0,3,27,2,1,0,0,1,0,43.57,-91.47,0.1,10,0,0.983197195989181,-2.2376010973605234,19.0,6/10/1960,20:00:00,1900-01-02 15:00:00
5971,20004,212,1960.0,3,13,3,2,0,0,4,0,32.1,-83.8,1,33,0,0.010897787173097305,-0.027284652802841515,37.0,5/8/1960,12:30:00,1900-01-03 01:30:00
5973,20217,425,1960.0,3,42,1,2,0,0,5,0,40.4,-75.62,9.4,200,0,0.01785995348914886,-0.05092499032763568,34.0,6/24/1960,17:00:00,1900-01-03 03:00:00
5975,5371,579,1960.0,3,48,67,2,0,0,0,0,31.88,-97.07,0.1,17,0,0.0009693826600090784,-0.00229364502950522,20.0,10/15/1960,11:00:00,1900-01-02 07:00:00
6008,5284,492,1960.0,3,40,93,1,0,0,4,0,36.02,-95.37,0.1,10,1,0.46085578880407124,-0.9619322201017814,20.0,7/25/1960,18:30:00,1900-01-02 14:30:00
6023,5186,394,1960.0,3,17,31,1,0,0,3,0,41.25,-87.73,0.1,10,0,1.7502158883136414,-5.20186615443384,18.0,6/16/1960,16:58:00,1900-01-02 10:58:00
6029,4939,147,1960.0,3,48,17,1,0,0,3,0,32.05,-98.38,0.2,10,0,2.028740682259868,-5.322750703523728,19.0,5/4/1960,18:30:00,1900-01-02 13:30:00
6080,5113,321,1960.0,3,1,6,1,0,0,3,0,34.7,-86.1,0.2,10,0,31.525340694638192,-89.38358727438435,0.0,5/27/1960,15:15:00,1900-01-01 15:15:00
6090,20038,246,1960.0,3,20,21,1,0,0,4,0,39.2,-99.83,6.9,100,0,42.161685543647884,-94.37954823803182,3.0,5/18/1960,17:30:00,1900-01-01 20:30:00
6154,5373,581,1960.0,3,48,69,1,0,0,4,0,34,-101.33,0.2,67,0,42.1510877464956,-88.65955277172878,2.0,10/16/1960,3:10:00,1900-01-01 05:10:00
6174,5219,427,1960.0,3,34,2,3,0,0,4,0,40.27,-74.77,12.9,200,1,2.8359648008462632,-7.130661015117895,15.0,6/24/1960,17:30:00,1900-01-02 08:30:00
6191,4955,163,1960.0,3,48,22,1,0,0,3,0,33.12,-95.6,1,30,0,33.61553808261184,-88.56114064754689,1.0,5/5/1960,4:00:00,1900-01-01 05:00:00
6197,19900,108,1960.0,3,55,1,1,0,0,3,0,45.67,-90.75,1.9,10,1,1.7132288578134887,-3.9723304086748765,53.0,4/25/1960,14:00:00,1900-01-03 19:00:00
6228,20383,591,1960.0,3,29,29,2,0,0,4,0,38.22,-91.72,1.3,100,0,39.10106959173185,-103.17228333729341,3.0,11/15/1960,14:25:00,1900-01-01 17:25:00
6234,20081,289,1960.0,3,48,32,1,0,0,4,0,33.37,-96.07,0.4,33,0,29.354215318768123,-97.98321580976258,2.0,5/20/1960,6:15:00,1900-01-01 08:15:00
6244,20076,284,1960.0,3,40,80,1,0,0,3,0,33.9,-95.3,0.1,10,1,2.7514271528326457,-7.761074264038859,53.0,5/20/1960,4:45:00,1900-01-03 09:45:00
6246,19895,103,1960.0,3,17,9,2,0,0,4,0,38.92,-88.67,21.9,200,0,32.00878995354255,-86.52535610940566,3.0,4/18/1960,8:30:00,1900-01-01 11:30:00
6254,5389,597,1960.0,3,29,32,2,0,0,4,0,38.07,-91.72,2,17,0,38.37100610516998,-99.38401873537413,1.0,11/15/1960,16:10:00,1900-01-01 17:10:00
6264,20189,397,1960.0,3,20,44,1,0,0,1,0,39.18,-101.2,0.1,10,0,40.98166513022546,-88.56132874673695,6.0,6/17/1960,23:20:00,1900-01-02 05:20:00
6275,5275,483,1960.0,3,48,58,1,0,0,3,0,29.25,-98.65,1,13,0,0.006669209879229437,-0.01742439730763867,21.0,7/21/1960,14:55:00,1900-01-02 11:55:00
6284,4863,71,1960.0,3,48,6,2,3,0,3,0,34.63,-102.72,1,67,0,39.657717688627784,-94.52592765664335,1.0,4/12/1960,20:00:00,1900-01-01 21:00:00
6297,4914,122,1960.0,3,40,20,3,2,0,4,0,35.22,-97.95,3.6,200,0,35.403026035819934,-79.32846158596834,3.0,4/28/1960,20:50:00,1900-01-01 23:50:00
6312,20304,512,1960.0,3,51,4,2,0,0,4,0,38.47,-78.62,0.1,10,0,0.02147223685817284,-0.058611235210970676,35.0,8/6/1960,22:30:00,1900-01-03 09:30:00
6314,4913,121,1960.0,3,40,19,2,0,0,2,0,35.18,-97.85,3.3,200,0,43.18252862649695,-100.47100875201726,1.0,4/28/1960,19:45:00,1900-01-01 20:45:00
6319,5358,566,1960.0,3,40,97,1,0,0,3,0,34.7,-96.4,0.1,10,1,32.41266902415565,-81.24782378346067,2.0,9/22/1960,19:00:00,1900-01-01 21:00:00
6330,20168,376,1960.0,3,31,14,2,0,0,4,0,42.3,-97.7,1,100,0,0.5484103863796385,-1.3289512740706133,41.0,6/14/1960,22:00:00,1900-01-03 15:00:00
6344,4985,193,1960.0,3,5,12,2,1,0,4,0,36.12,-93.92,13.2,167,0,0.16976412947627612,-0.40009801731764993,20.0,5/6/1960,0:30:00,1900-01-01 20:30:00
6366,5133,341,1960.0,3,17,25,0,0,0,0,0,39.1,-89.2,0.1,10,1,1.4295511787050876,-3.2975268214373927,18.0,6/4/1960,18:00:00,1900-01-02 12:00:00
6368,4805,13,1960.0,3,5,2,1,2,0,4,0,35.3,-91.58,6.4,83,0,40.10644534453444,-90.8445817629442,1.0,2/9/1960,15:45:00,1900-01-01 16:45:00
6381,19916,124,1960.0,3,40,22,3,1,0,5,0,35.3,-97.83,1.5,200,0,31.468674967067162,-92.29949294967957,2.0,4/28/1960,20:58:00,1900-01-01 22:58:00
6401,5297,505,1960.0,3,38,10,2,0,0,3,0,46.9,-99.3,0.1,10,0,0.10487500741213575,-0.24172480300885243,20.0,8/2/1960,19:00:00,1900-01-02 15:00:00
6403,4822,30,1960.0,3,37,3,1,0,0,0,0,35.63,-80.12,0.1,10,0,0.014480186386469968,-0.035944731465575044,17.0,2/18/1960,17:30:00,1900-01-02 10:30:00
6409,4828,36,1960.0,3,12,4,3,0,0,5,0,30.2,-82.63,0.8,100,0,34.768765975106966,-100.30467101820243,3.0,3/3/1960,4:30:00,1900-01-01 07:30:00
6423,19949,157,1960.0,3,40,39,3,4,0,5,0,35.52,-97.62,5.1,400,0,0.6655590030030031,-1.7342961486486488,31.0,5/4/1960,21:00:00,1900-01-03 04:00:00
6469,5348,556,1960.0,3,37,8,1,0,0,4,0,34.6,-78.6,15.4,800,0,0.2776444572808917,-0.579460369866122,17.0,9/11/1960,16:00:00,1900-01-02 09:00:00
6480,5080,288,1960.0,3,48,31,1,1,0,3,0,33.6,-96.17,4.6,17,0,33.76858103795324,-80.25369963354208,2.0,5/20/1960,6:00:00,1900-01-01 08:00:00
6490,20285,493,1960.0,3,27,4,1,0,0,4,0,47.03,-96.2,0.1,10,0,35.541431813486234,-86.27880723621405,8.0,7/25/1960,23:54:00,1900-01-02 07:54:00
6504,19893,101,1960.0,3,26,1,1,0,0,4,0,42.93,-85.72,1.5,300,1,34.453847927429244,-86.2017629149202,5.0,4/17/1960,2:55:00,1900-01-01 07:55:00
6515,4816,24,1960.0,3,22,3,1,0,0,4,0,30.2,-93.33,1,100,0,46.48146756899532,-100.35802664483737,3.0,2/18/1960,3:42:00,1900-01-01 06:42:00
6517,19959,167,1960.0,3,40,42,0,0,0,0,0,34.35,-99.03,0.1,10,1,40.833274213241396,-89.749695519651,9.0,5/5/1960,15:00:00,1900-01-02 00:00:00
6518,20148,356,1960.0,3,56,4,0,0,0,0,0,41.57,-106.95,1,33,0,0.321455,-0.6182291666666667,96.0,6/9/1960,18:24:00,1900-01-05 18:24:00
6520,20024,232,1960.0,3,40,61,0,0,0,0,0,35.93,-96.3,0.1,10,1,3.9471959098639458,-8.778244702380952,80.0,5/17/1960,16:00:00,1900-01-05 00:00:00
6538,20400,608,1960.0,3,20,56,2,0,0,3,0,38.38,-97.58,0.1,10,0,0.013043715916812337,-0.03629464822568999,42.0,11/27/1960,19:55:00,1900-01-03 13:55:00
6557,5016,224,1960.0,3,31,3,1,0,0,4,0,40.15,-95.95,0.1,10,0,31.383493489937635,-83.52745920422338,2.0,5/16/1960,10:00:00,1900-01-01 12:00:00
6567,20399,606,1960.0,3,20,54,1,0,0,3,0,38.35,-98.35,0.1,10,1,38.82087822269717,-98.01819754320259,0.0,11/27/1960,19:30:00,1900-01-01 19:30:00
6574,19898,106,1960.0,3,48,9,2,0,0,4,0,30.82,-102.93,0.3,67,0,36.50143259574676,-82.06545391730673,8.0,4/23/1960,19:00:00,1900-01-02 03:00:00
6577,19993,201,1960.0,3,5,17,2,2,0,5,0,33.8,-93.45,2.6,320,0,17.34500845671168,-30.61818924409605,25.0,5/6/1960,8:30:00,1900-01-02 09:30:00
6588,5078,286,1960.0,3,48,29,2,0,0,5,0,33.63,-96.58,2.7,67,0,0.9990726161330821,-2.55732043404179,20.0,5/20/1960,5:15:00,1900-01-02 01:15:00
6624,20296,504,1960.0,3,38,9,0,0,0,0,0,47.1,-102.9,0.1,10,1,0.12679017379679144,-0.37509004010695185,92.0,8/2/1960,17:00:00,1900-01-05 13:00:00
6642,4929,137,1960.0,3,48,14,1,0,0,3,0,29.6,-96.95,0.2,17,0,35.346239478745915,-95.08172114011542,1.0,5/4/1960,14:40:00,1900-01-01 15:40:00
6671,19978,186,1960.0,3,40,58,2,0,0,4,0,35.28,-95.58,1,400,0,38.6300343280853,-89.40513897592582,2.0,5/5/1960,21:30:00,1900-01-01 23:30:00
